[Ess] [TERRAIN] 1  x=2545.82  y=-29.28  z=-911.76
[Ess] [TERRAIN] 2  x=2552.64  y=-15.41  z=-926.24
[Ess] [TERRAIN] 3  x=2559.46  y=-55.69  z=-940.71
[Ess] [TERRAIN] 4  x=2566.28  y=-55.69  z=-955.18
[Ess] [TERRAIN] 5  x=2573.10  y=-55.69  z=-969.66
[Ess] [TERRAIN] 6  x=2579.92  y=-55.69  z=-984.13
[Ess] [TERRAIN] 7  x=2586.74  y=-14.42  z=-998.60
[Ess] [TERRAIN] 8  x=2593.56  y=-13.94  z=-1013.08
[Ess] [TERRAIN] 9  x=2600.38  y=-13.81  z=-1027.55
[Ess] [TERRAIN] 10  x=2607.20  y=-13.79  z=-1042.02
[Ess] [TERRAIN] 11  x=2614.02  y=-13.98  z=-1056.50
[Ess] [TERRAIN] 12  x=2620.84  y=-17.37  z=-1070.97
[Ess] [TERRAIN] 13  x=2627.66  y=-13.96  z=-1085.44
[Ess] [TERRAIN] 14  x=2634.48  y=-13.93  z=-1099.92
[Ess] [TERRAIN] 15  x=2641.30  y=-13.93  z=-1114.39
[Ess] [TERRAIN] 16  x=2648.12  y=-13.61  z=-1128.87
[Ess] [TERRAIN] 17  x=2654.94  y=-13.14  z=-1143.34
[Ess] [TERRAIN] 18  x=2661.77  y=-13.83  z=-1157.81
[Ess] [TERRAIN] 19  x=2668.59  y=-14.11  z=-1172.29
[Ess] [TERRAIN] 20  x=2675.41  y=-12.08  z=-1186.76
[Ess] [TERRAIN] 21  x=2682.23  y=-12.05  z=-1201.23
[Ess] [TERRAIN] 22  x=2689.05  y=-11.32  z=-1215.71
[Ess] [TERRAIN] 23  x=2695.87  y=-13.65  z=-1230.18
[Ess] [TERRAIN] 24  x=2702.69  y=-16.03  z=-1244.65
[Ess] [TERRAIN] 25  x=2709.51  y=-18.60  z=-1259.13
[Ess] [TERRAIN] 26  x=2716.33  y=-32.92  z=-1273.60
[Ess] [TERRAIN] 27  x=2723.15  y=-33.59  z=-1288.08
[Ess] [TERRAIN] 28  x=2729.97  y=-32.85  z=-1302.55
[Ess] [TERRAIN] 29  x=2736.79  y=-27.62  z=-1317.02
[Ess] [TERRAIN] 30  x=2743.61  y=-23.01  z=-1331.50
[Ess] [TERRAIN] 31  x=2750.43  y=-16.71  z=-1345.97
[Ess] [TERRAIN] 32  x=2757.25  y=-4.01  z=-1360.44
[Ess] [TERRAIN] 33  x=2764.07  y=9.95  z=-1374.92
[Ess] [TERRAIN] 34  x=2770.89  y=13.19  z=-1389.39
[Ess] [TERRAIN] 35  x=2777.71  y=24.23  z=-1403.86
[Ess] [TERRAIN] 36  x=2784.53  y=35.77  z=-1418.34
[Ess] [TERRAIN] 37  x=2791.35  y=36.28  z=-1432.81
[Ess] [TERRAIN] 38  x=2798.17  y=33.42  z=-1447.29
[Ess] [TERRAIN] 39  x=2804.99  y=31.46  z=-1461.76
[Ess] [TERRAIN] 40  x=2811.81  y=22.49  z=-1476.23
[Ess] [TERRAIN] 41  x=2818.63  y=14.66  z=-1490.71
[Ess] [TERRAIN] 42  x=2825.45  y=8.69  z=-1505.18
[Ess] [TERRAIN] 43  x=2832.27  y=3.81  z=-1519.65
[Ess] [TERRAIN] 44  x=2839.09  y=-0.43  z=-1534.13
[Ess] [TERRAIN] 45  x=2845.91  y=-1.18  z=-1548.60
[Ess] [TERRAIN] 46  x=2852.73  y=1.88  z=-1563.07
[Ess] [TERRAIN] 47  x=2859.55  y=5.72  z=-1577.55
[Ess] [TERRAIN] 48  x=2866.37  y=11.38  z=-1592.02
[Ess] [TERRAIN] 49  x=2873.19  y=17.26  z=-1606.50
[Ess] [TERRAIN] 50  x=2880.02  y=24.02  z=-1620.97
[Ess] [TERRAIN] 51  x=2886.84  y=25.29  z=-1635.44
[Ess] [TERRAIN] 52  x=2893.66  y=23.36  z=-1649.92
[Ess] [TERRAIN] 53  x=2900.48  y=24.47  z=-1664.39
[Ess] [TERRAIN] 54  x=2907.30  y=27.08  z=-1678.86
[Ess] [TERRAIN] 55  x=2914.12  y=31.11  z=-1693.34
[Ess] [TERRAIN] 56  x=2920.94  y=35.95  z=-1707.81
[Ess] [TERRAIN] 57  x=2927.76  y=38.51  z=-1722.28
[Ess] [TERRAIN] 58  x=2934.58  y=40.21  z=-1736.76
[Ess] [TERRAIN] 59  x=2941.40  y=41.50  z=-1751.23
[Ess] [TERRAIN] 60  x=2948.22  y=43.75  z=-1765.71
[Ess] [TERRAIN] 61  x=2955.04  y=47.00  z=-1780.18
[Ess] [TERRAIN] 62  x=2961.86  y=52.63  z=-1794.65
[Ess] [TERRAIN] 63  x=2968.68  y=57.36  z=-1809.13
[Ess] [TERRAIN] 64  x=2975.50  y=59.46  z=-1823.60
[Ess] [TERRAIN] 65  x=2982.32  y=57.61  z=-1838.07
[Ess] [TERRAIN] 66  x=2989.14  y=56.87  z=-1852.55
[Ess] [TERRAIN] 67  x=2995.96  y=62.59  z=-1867.02
[Ess] [TERRAIN] 68  x=3002.78  y=69.92  z=-1881.49
[Ess] [TERRAIN] 69  x=3009.60  y=77.91  z=-1895.97
[Ess] [TERRAIN] 70  x=3016.42  y=84.83  z=-1910.44
[Ess] [TERRAIN] 71  x=3023.24  y=87.61  z=-1924.92
[Ess] [TERRAIN] 72  x=3030.06  y=87.84  z=-1939.39
[Ess] [TERRAIN] 73  x=3036.88  y=87.78  z=-1953.86
[Ess] [TERRAIN] 74  x=3043.70  y=89.05  z=-1968.34
[Ess] [TERRAIN] 75  x=3050.52  y=92.69  z=-1982.81
[Ess] [TERRAIN] 76  x=3057.34  y=97.50  z=-1997.28
[Ess] [TERRAIN] 77  x=3064.16  y=103.20  z=-2011.76
[Ess] [TERRAIN] 78  x=3070.98  y=114.10  z=-2026.23
[Ess] [TERRAIN] 79  x=3077.80  y=124.62  z=-2040.70
[Ess] [TERRAIN] 80  x=3084.62  y=134.91  z=-2055.18
[Ess] [TERRAIN] 81  x=3091.44  y=139.68  z=-2069.65
[Ess] [TERRAIN] 82  x=3098.27  y=141.13  z=-2084.13
[Ess] [TERRAIN] 83  x=3105.09  y=138.18  z=-2098.60
[Ess] [TERRAIN] 84  x=3111.91  y=133.63  z=-2113.07
[Ess] [TERRAIN] 85  x=3118.73  y=131.11  z=-2127.55
[Ess] [TERRAIN] 86  x=3125.55  y=127.72  z=-2142.02
[Ess] [TERRAIN] 87  x=3132.37  y=126.81  z=-2156.49
[Ess] [TERRAIN] 88  x=3139.19  y=129.99  z=-2170.97
[Ess] [TERRAIN] 89  x=3146.01  y=134.59  z=-2185.44
