[Ess] Net: DISABLED (Ess.Net.OFF) -- no receiver hijack on NetEventCallback, no wire traffic
[Ess] Net: v0.2.1 ready (EV=5 SLOTS=5 HB=2)
[Ess] registered 'demo_convoy' (Demo: Wreck the Convoy)
[Ess] Contract: loaded (1 contract(s) registered)
[Ess] v0.2.1 ready
[Ess] [footlog] STARTED -- logging on foot every 0.25s (F10 again to stop)
[Ess] [FOOT] 1  x=2561.71  y=-13.90  z=-909.62  yaw=48.7
[Ess] [FOOT] 2  x=2562.17  y=-13.90  z=-909.33  yaw=59.8
[Ess] [FOOT] 3  x=2563.45  y=-13.89  z=-908.69  yaw=63.6
[Ess] [FOOT] 4  x=2565.13  y=-13.89  z=-907.90  yaw=64.4
[Ess] [FOOT] 5  x=2567.31  y=-13.89  z=-906.89  yaw=64.4
[Ess] [FOOT] 6  x=2569.59  y=-13.88  z=-905.79  yaw=63.7
[Ess] [FOOT] 7  x=2571.91  y=-13.88  z=-904.60  yaw=62.9
[Ess] [FOOT] 8  x=2574.22  y=-13.87  z=-903.41  yaw=62.9
[Ess] [FOOT] 9  x=2576.53  y=-14.01  z=-902.23  yaw=62.2
[Ess] [FOOT] 10  x=2578.71  y=-14.39  z=-900.94  yaw=56.0
[Ess] [FOOT] 11  x=2580.78  y=-14.39  z=-899.43  yaw=52.6
[Ess] [FOOT] 12  x=2582.71  y=-14.39  z=-897.70  yaw=47.1
[Ess] [FOOT] 13  x=2584.60  y=-14.39  z=-895.94  yaw=47.1
[Ess] [FOOT] 14  x=2586.52  y=-14.39  z=-894.20  yaw=47.1
[Ess] [FOOT] 15  x=2588.44  y=-14.39  z=-892.45  yaw=47.1
[Ess] [FOOT] 16  x=2590.34  y=-14.39  z=-890.68  yaw=47.1
[Ess] [FOOT] 17  x=2592.25  y=-14.39  z=-888.90  yaw=47.1
[Ess] [FOOT] 18  x=2594.13  y=-14.39  z=-887.11  yaw=47.1
[Ess] [FOOT] 19  x=2596.03  y=-14.39  z=-885.30  yaw=47.1
[Ess] [FOOT] 20  x=2597.90  y=-14.39  z=-883.52  yaw=47.1
[Ess] [FOOT] 21  x=2599.79  y=-14.39  z=-881.71  yaw=47.1
[Ess] [FOOT] 22  x=2601.66  y=-14.39  z=-879.93  yaw=47.1
[Ess] [FOOT] 23  x=2603.56  y=-14.39  z=-878.11  yaw=47.1
[Ess] [FOOT] 24  x=2605.39  y=-14.39  z=-876.36  yaw=47.1
[Ess] [FOOT] 25  x=2607.26  y=-14.39  z=-874.60  yaw=47.1
[Ess] [FOOT] 26  x=2609.16  y=-14.39  z=-872.81  yaw=47.1
[Ess] [FOOT] 27  x=2611.07  y=-14.39  z=-871.01  yaw=47.1
[Ess] [FOOT] 28  x=2612.97  y=-14.39  z=-869.22  yaw=47.1
[Ess] [FOOT] 29  x=2614.84  y=-14.39  z=-867.41  yaw=46.4
[Ess] [FOOT] 30  x=2616.68  y=-14.39  z=-865.60  yaw=46.3
[Ess] [FOOT] 31  x=2618.54  y=-14.39  z=-863.77  yaw=46.3
[Ess] [FOOT] 32  x=2620.41  y=-14.39  z=-861.94  yaw=46.3
[Ess] [FOOT] 33  x=2622.27  y=-14.39  z=-860.11  yaw=46.3
[Ess] [FOOT] 34  x=2624.12  y=-14.39  z=-858.29  yaw=46.3
[Ess] [FOOT] 35  x=2625.98  y=-14.39  z=-856.47  yaw=46.3
[Ess] [FOOT] 36  x=2627.84  y=-14.24  z=-854.64  yaw=46.3
[Ess] [FOOT] 37  x=2629.70  y=-14.04  z=-852.81  yaw=46.3
[Ess] [FOOT] 38  x=2631.56  y=-13.84  z=-850.98  yaw=46.3
[Ess] [FOOT] 39  x=2633.42  y=-13.85  z=-849.15  yaw=46.3
[Ess] [FOOT] 40  x=2635.29  y=-13.85  z=-847.32  yaw=46.3
[Ess] [FOOT] 41  x=2637.17  y=-13.85  z=-845.59  yaw=49.6
[Ess] [FOOT] 42  x=2639.18  y=-13.85  z=-844.00  yaw=52.7
[Ess] [FOOT] 43  x=2641.36  y=-13.85  z=-842.71  yaw=65.7
[Ess] [FOOT] 44  x=2643.76  y=-13.85  z=-842.01  yaw=80.1
[Ess] [FOOT] 45  x=2646.29  y=-13.85  z=-841.73  yaw=84.0
[Ess] [FOOT] 46  x=2648.85  y=-13.85  z=-841.51  yaw=86.7
[Ess] [FOOT] 47  x=2651.45  y=-13.85  z=-841.38  yaw=86.7
[Ess] [FOOT] 48  x=2654.07  y=-13.85  z=-841.25  yaw=86.7
[Ess] [FOOT] 49  x=2656.71  y=-13.84  z=-841.12  yaw=86.7
[Ess] [FOOT] 50  x=2659.20  y=-13.84  z=-840.46  yaw=67.0
[Ess] [FOOT] 51  x=2661.39  y=-13.84  z=-839.16  yaw=55.8
[Ess] [FOOT] 52  x=2663.51  y=-13.84  z=-837.69  yaw=55.8
[Ess] [FOOT] 53  x=2664.36  y=-13.84  z=-837.11  yaw=55.8
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
