[Ess] [TERRAIN] 1  x=2545.82  y=-29.28  z=-911.76
[Ess] [TERRAIN] 2  x=2559.46  y=-55.69  z=-940.71
[Ess] [TERRAIN] 3  x=2573.10  y=-55.69  z=-969.66
[Ess] [TERRAIN] 4  x=2586.74  y=-14.42  z=-998.60
[Ess] [TERRAIN] 5  x=2600.38  y=-13.82  z=-1027.55
[Ess] [TERRAIN] 6  x=2614.02  y=-13.98  z=-1056.50
[Ess] [TERRAIN] 7  x=2627.66  y=-13.96  z=-1085.44
[Ess] [TERRAIN] 8  x=2641.30  y=-13.92  z=-1114.39
[Ess] [TERRAIN] 9  x=2654.94  y=-13.14  z=-1143.34
[Ess] [TERRAIN] 10  x=2668.58  y=-14.10  z=-1172.29
[Ess] [TERRAIN] 11  x=2682.22  y=-12.05  z=-1201.23
[Ess] [TERRAIN] 12  x=2695.86  y=-13.64  z=-1230.18
[Ess] [TERRAIN] 13  x=2709.50  y=-18.61  z=-1259.13
[Ess] [TERRAIN] 14  x=2723.14  y=-33.59  z=-1288.07
[Ess] [TERRAIN] 15  x=2736.79  y=-27.61  z=-1317.02
[Ess] [TERRAIN] 16  x=2750.43  y=-16.71  z=-1345.97
[Ess] [TERRAIN] 17  x=2764.07  y=9.95  z=-1374.92
[Ess] [TERRAIN] 18  x=2777.71  y=24.23  z=-1403.86
[Ess] [TERRAIN] 19  x=2791.35  y=36.28  z=-1432.81
[Ess] [TERRAIN] 20  x=2804.99  y=31.47  z=-1461.76
[Ess] [TERRAIN] 21  x=2818.63  y=14.66  z=-1490.70
[Ess] [TERRAIN] 22  x=2832.27  y=3.80  z=-1519.65
[Ess] [TERRAIN] 23  x=2845.91  y=-1.19  z=-1548.60
[Ess] [TERRAIN] 24  x=2859.55  y=5.71  z=-1577.55
[Ess] [TERRAIN] 25  x=2873.19  y=0.00  z=-1606.49
[Ess] [TERRAIN] 26  x=2886.83  y=0.00  z=-1635.44
[Ess] [TERRAIN] 27  x=2900.47  y=0.00  z=-1664.39
[Ess] [TERRAIN] 28  x=2914.11  y=0.00  z=-1693.33
[Ess] [TERRAIN] 29  x=2927.75  y=0.00  z=-1722.28
[Ess] [TERRAIN] 30  x=2941.39  y=0.00  z=-1751.23
[Ess] [TERRAIN] 31  x=2955.03  y=0.00  z=-1780.18
[Ess] [TERRAIN] 32  x=2968.67  y=0.00  z=-1809.12
[Ess] [TERRAIN] 33  x=2982.31  y=0.00  z=-1838.07
[Ess] [TERRAIN] 34  x=2995.95  y=62.58  z=-1867.02
[Ess] [TERRAIN] 35  x=3009.59  y=77.89  z=-1895.96
[Ess] [TERRAIN] 36  x=3023.23  y=87.62  z=-1924.91
[Ess] [TERRAIN] 37  x=3036.87  y=87.77  z=-1953.86
[Ess] [TERRAIN] 38  x=3050.51  y=92.69  z=-1982.81
[Ess] [TERRAIN] 39  x=3064.15  y=103.20  z=-2011.75
[Ess] [TERRAIN] 40  x=3077.79  y=124.62  z=-2040.70
[Ess] [TERRAIN] 41  x=3091.44  y=139.69  z=-2069.65
[Ess] [TERRAIN] 42  x=3105.08  y=138.18  z=-2098.59
[Ess] [TERRAIN] 43  x=3118.72  y=131.11  z=-2127.54
[Ess] [TERRAIN] 44  x=3132.36  y=126.81  z=-2156.49
[Ess] [TERRAIN] 45  x=3146.00  y=134.60  z=-2185.44
[Ess] [TERRAIN] 46  x=3159.64  y=140.25  z=-2214.38
[Ess] [TERRAIN] 47  x=3173.28  y=136.17  z=-2243.33
[Ess] [TERRAIN] 48  x=3186.92  y=128.75  z=-2272.28
[Ess] [TERRAIN] 49  x=3200.56  y=109.67  z=-2301.22
[Ess] [TERRAIN] 50  x=3214.20  y=91.61  z=-2330.17
[Ess] [TERRAIN] 51  x=3227.84  y=85.56  z=-2359.12
[Ess] [TERRAIN] 52  x=3241.48  y=97.60  z=-2388.06
[Ess] [TERRAIN] 53  x=3255.12  y=120.54  z=-2417.01
[Ess] [TERRAIN] 54  x=3268.76  y=146.52  z=-2445.96
[Ess] [TERRAIN] 55  x=3282.40  y=156.00  z=-2474.91
[Ess] [TERRAIN] 56  x=3296.04  y=158.11  z=-2503.85
[Ess] [TERRAIN] 57  x=3309.68  y=165.52  z=-2532.80
[Ess] [TERRAIN] 58  x=3323.32  y=170.38  z=-2561.75
[Ess] [TERRAIN] 59  x=3336.96  y=173.58  z=-2590.69
[Ess] [TERRAIN] 60  x=3350.60  y=200.23  z=-2619.64
[Ess] [TERRAIN] 61  x=3364.24  y=216.27  z=-2648.59
[Ess] [TERRAIN] 62  x=3377.88  y=205.27  z=-2677.53
[Ess] [TERRAIN] 63  x=3391.52  y=170.69  z=-2706.48
[Ess] [TERRAIN] 64  x=3405.16  y=155.88  z=-2735.43
[Ess] [TERRAIN] 65  x=3418.81  y=160.77  z=-2764.38
[Ess] [TERRAIN] 66  x=3432.45  y=160.73  z=-2793.32
[Ess] [TERRAIN] 67  x=3446.09  y=178.77  z=-2822.27
[Ess] [TERRAIN] 68  x=3459.73  y=204.85  z=-2851.22
[Ess] [TERRAIN] 69  x=3473.37  y=215.42  z=-2880.16
[Ess] [TERRAIN] 70  x=3487.01  y=217.94  z=-2909.11
[Ess] [TERRAIN] 71  x=3500.65  y=204.34  z=-2938.06
[Ess] [TERRAIN] 72  x=3514.29  y=203.91  z=-2967.00
[Ess] [TERRAIN] 73  x=3527.93  y=188.15  z=-2995.95
[Ess] [TERRAIN] 74  x=3541.57  y=174.22  z=-3024.90
[Ess] [TERRAIN] 75  x=3555.21  y=170.80  z=-3053.85
[Ess] [TERRAIN] 76  x=3568.85  y=169.96  z=-3082.79
[Ess] [TERRAIN] 77  x=3582.49  y=174.34  z=-3111.74
