[Ess] Net: DISABLED (Ess.Net.OFF) -- no receiver hijack on NetEventCallback, no wire traffic
[Ess] Net: v0.2.1 ready (EV=5 SLOTS=5 HB=2)
[Ess] registered 'demo_convoy' (Demo: Wreck the Convoy)
[Ess] Contract: loaded (1 contract(s) registered)
[Ess] v0.2.1 ready
[Ess] [roadlog] STARTED -- logging every 0.25s (F11 again to stop)
[Ess] [ROAD] 1  x=2633.41  y=-3.86  z=-1019.60  yaw=131.9
[Ess] [ROAD] 2  x=2632.17  y=-13.87  z=-1018.38  yaw=119.6
[Ess] [ROAD] 3  x=2630.89  y=-13.88  z=-1017.36  yaw=108.5
[Ess] [ROAD] 4  x=2632.54  y=-13.88  z=-1017.62  yaw=96.7
[Ess] [ROAD] 5  x=2635.55  y=-13.88  z=-1017.57  yaw=75.6
[Ess] [ROAD] 6  x=2638.89  y=-13.88  z=-1016.58  yaw=57.5
[Ess] [ROAD] 7  x=2641.69  y=-13.89  z=-1015.09  yaw=54.8
[Ess] [ROAD] 8  x=2644.43  y=-13.78  z=-1013.49  yaw=61.4
[Ess] [ROAD] 9  x=2646.97  y=-13.63  z=-1012.33  yaw=73.2
[Ess] [ROAD] 10  x=2649.51  y=-13.75  z=-1011.55  yaw=87.6
[Ess] [ROAD] 11  x=2651.73  y=-13.73  z=-1011.46  yaw=102.1
[Ess] [ROAD] 12  x=2653.55  y=-13.73  z=-1011.89  yaw=115.1
[Ess] [ROAD] 13  x=2655.07  y=-13.73  z=-1012.79  yaw=130.3
[Ess] [ROAD] 14  x=2656.85  y=-13.73  z=-1014.90  yaw=157.1
[Ess] [ROAD] 15  x=2658.10  y=-13.72  z=-1017.95  yaw=171.7
[Ess] [ROAD] 16  x=2659.00  y=-13.67  z=-1020.96  yaw=164.3
[Ess] [ROAD] 17  x=2660.15  y=-13.21  z=-1023.78  yaw=151.0
[Ess] [ROAD] 18  x=2661.51  y=-12.48  z=-1026.04  yaw=142.4
[Ess] [ROAD] 19  x=2663.09  y=-11.80  z=-1028.07  yaw=137.7
[Ess] [ROAD] 20  x=2665.14  y=-11.32  z=-1030.38  yaw=133.5
[Ess] [ROAD] 21  x=2667.21  y=-11.57  z=-1032.62  yaw=132.2
[Ess] [ROAD] 22  x=2669.27  y=-12.05  z=-1034.80  yaw=136.5
[Ess] [ROAD] 23  x=2671.59  y=-12.90  z=-1037.28  yaw=137.4
[Ess] [ROAD] 24  x=2674.25  y=-13.72  z=-1040.14  yaw=137.7
[Ess] [ROAD] 25  x=2677.11  y=-13.75  z=-1043.27  yaw=137.7
[Ess] [ROAD] 26  x=2680.66  y=-13.75  z=-1046.95  yaw=133.2
[Ess] [ROAD] 27  x=2684.43  y=-13.75  z=-1050.56  yaw=132.4
